				ch1äpìx	ch2äpìx													
FFFFFCE9	40	FFFFFAAF	FFFFFD91	-85.374	-114.59	-104.56	deg	0	----	008C	35							
FFFFFD1C	0000002A	FFFFFA7A	FFFFFE18	-86.752	-109.04	-101.69	deg	0	----	008C	35							
FFFFFD0E	0000001D	FFFFFA5F	FFFFFE63	-87.797	-105.99	-99.923	deg	0	----	008C	35							
FFFFFCF6	0000004C	FFFFFA86	FFFFFDB9	-84.421	-112.57	-103.09	deg	0	----	008C	35							
FFFFFCE7	54	FFFFFAC8	FFFFFD3D	-83.953	-117.88	-106.31	deg	0	----	008C	35							
FFFFFD27	0000001F	FFFFFA55	FFFFFE84	-87.565	-104.67	-99.095	deg	0	----	008C	35							
FFFFFD01	48	FFFFFAA5	FFFFFD81	-84.637	-114.98	-104.85	deg	0	----	008C	35							
FFFFFCD1	0000004C	FFFFFAAF	FFFFFD55	-84.672	-116.64	-105.58	deg	0	----	008C	35							
FFFFFD05	0000002B	FFFFFA5F	FFFFFE51	-86.774	-106.65	-99.984	deg	0	----	008C	35							
FFFFFD00	45	FFFFFAC2	FFFFFD68	-84.866	-116.32	-105.74	deg	0	----	008C	35							
FFFFFCCD	46	FFFFFAB2	FFFFFD6D	-85.115	-115.88	-105.13	deg	0	----	008C	35							
FFFFFD07	0000002A	FFFFFA54	FFFFFE52	-86.841	-106.49	-99.944	deg	0	----	008C	35							
FFFFFD37	33	FFFFFA60	FFFFFE3A	-85.909	-107.49	-100.6	deg	0	----	008C	35							
FFFFFCD3	0000003B	FFFFFABC	FFFFFD89	-85.849	-115.08	-104.82	deg	0	----	008C	35							
FFFFFCFC	24	FFFFFA63	FFFFFE49	-87.33	-106.98	-100.33	deg	0	----	008C	35							
FFFFFD30	0000003A	FFFFFA3F	FFFFFE5E	-85.394	-105.84	-99.322	deg	0	----	008C	35							
FFFFFD11	0000004B	FFFFFAAC	FFFFFD80	-84.297	-115.13	-104.95	deg	0	----	008A	34.5							
FFFFFCF3	28	FFFFFA6D	FFFFFE3E	-87.068	-107.5	-100.51	deg	0	----	008A	34.5							
FFFFFD23	34	FFFFFA27	FFFFFE7D	-85.942	-104.49	-98.543	deg	0	----	008A	34.5							
FFFFFD15	0000004C	FFFFFA99	FFFFFD9F	-84.191	-113.76	-104.04	deg	0	----	008A	34.5							
FFFFFCEE	41	FFFFFAE5	FFFFFD59	-85.273	-117.45	-106.35	deg	0	----	008A	34.5							
FFFFFCF4	24	FFFFFA9E	FFFFFDEA	-87.357	-111.18	-102.99	deg	0	----	008A	34.5							
FFFFFD0D	0000004B	FFFFFA6F	FFFFFDE6	-84.327	-110.68	-101.99	deg	0	----	008A	34.5							
FFFFFCFB	47	FFFFFAAC	FFFFFDCD	-84.752	-112.42	-102.96	deg	0	----	008A	34.5							
FFFFFD06	0000002A	FFFFFAB2	FFFFFDC2	-86.845	-112.91	-104.08	deg	0	----	008A	34.5							
FFFFFCFE	0000002B	FFFFFA6E	FFFFFDE3	-86.804	-110.77	-102.77	deg	0	----	008A	34.5							
FFFFFD13	48	FFFFFA9E	FFFFFDFE	-84.509	-110.45	-101.73	deg	0	----	008A	34.5							
FFFFFD0A	0000003B	FFFFFAA9	FFFFFDC1	-85.549	-112.81	-103.64	deg	0	----	008A	34.5							
FFFFFCEB	28	FFFFFA98	FFFFFD64	-87.098	-115.76	-106.11	deg	0	----	008A	34.5							
