				ch1äpìx	ch2äpìx													
FFFFFCFE	55	FFFFFAEA	FFFFFD36	-83.701	-118.74	-106.88	deg	0	----	89	34.2							
FFFFFCFD	22	FFFFFAA6	FFFFFDD4	-87.475	-112.08	-103.7	deg	0	----	89	34.2							
FFFFFD06	0000001B	FFFFFA1A	FFFFFEA8	-87.971	-102.83	-97.943	deg	0	----	89	34.2							
FFFFFD04	56	FFFFFB00	FFFFFD14	-83.578	-120.3	-107.94	deg	0	----	89	34.2							
FFFFFCFB	0000002C	FFFFFABF	FFFFFDAB	-86.742	-113.93	-104.63	deg	0	----	008A	34.5							
FFFFFCF6	17	FFFFFA20	FFFFFEA2	-88.307	-103.1	-98.155	deg	0	----	008A	34.5							
FFFFFD0B	47	FFFFFA64	FFFFFE0A	-84.642	-109.26	-101.11	deg	0	----	008A	34.5							
FFFFFCFD	0000002B	FFFFFAB0	FFFFFDB8	-86.808	-113.23	-104.24	deg	0	----	008A	34.5							
FFFFFCEF	0000000A	FFFFFA49	FFFFFE44	-89.27	-106.88	-100.92	deg	0	----	008A	34.5							
FFFFFD05	0000004B	FFFFFA5D	FFFFFE14	-84.386	-108.82	-100.7	deg	0	----	008A	34.5							
FFFFFD19	0000006F	FFFFFABA	FFFFFDB6	-81.503	-113.46	-102.78	deg	0	----	008A	34.5							
FFFFFCED	0	FFFFFA62	FFFFFDF7	-90	-109.91	-103.17	deg	0	----	008A	34.5							
FFFFFCFE	66	FFFFFA1E	FFFFFE78	-82.454	-104.59	-97.261	deg	0	----	008A	34.5							
FFFFFD19	0000006D	FFFFFAA1	FFFFFDE3	-81.654	-111.47	-101.52	deg	0	----	008A	34.5							
FFFFFD0D	3	FFFFFB0D	FFFFFD29	-89.772	-119.84	-109.7	deg	0	----	008A	34.5							
FFFFFCF9	0000006E	FFFFFA07	FFFFFE94	-81.922	-103.39	-96.291	deg	0	----	008A	34.5							
FFFFFD15	0000006F	FFFFFA93	FFFFFDD7	-81.548	-111.7	-101.69	deg	0	----	008A	34.5							
FFFFFD10	7	FFFFFB0A	FFFFFD3E	-89.467	-119.07	-109.07	deg	0	----	008A	34.5							
FFFFFCF3	FFFFFFFD	FFFFFAAB	FFFFFDB4	-90.22	-113.3	-105.39	deg	0	----	008A	34.5							
FFFFFD16	73	FFFFFA53	FFFFFE43	-81.237	-107.02	-98.535	deg	0	----	008A	34.5							
FFFFFD19	0000000F	FFFFFAFB	FFFFFD7E	-88.843	-116.54	-107.18	deg	0	----	008A	34.5							
FFFFFCE6	6	FFFFFAEF	FFFFFD19	-89.567	-119.8	-109.41	deg	0	----	008A	34.5							
FFFFFCF0	0000005A	FFFFFA0F	FFFFFE4C	-83.451	-105.99	-98.537	deg	0	----	008A	34.5							
FFFFFD14	0000001C	FFFFFB15	FFFFFD5B	-87.856	-118.26	-107.92	deg	0	----	008A	34.5							
FFFFFCE0	0000001A	FFFFFAFF	FFFFFCE1	-88.139	-121.95	-110.37	deg	0	----	008A	34.5							
FFFFFD01	50	FFFFF9ED	FFFFFE96	-84.045	-103.1	-96.924	deg	0	----	008A	34.5							
FFFFFD25	49	FFFFFA2B	FFFFFEC1	-84.297	-102.06	-96.312	deg	0	----	008A	34.5							
FFFFFCE4	30	FFFFFADD	FFFFFD16	-86.549	-119.56	-108.29	deg	0	----	008A	34.5							
FFFFFD0D	0000003B	FFFFFA1C	FFFFFE5F	-85.532	-105.45	-98.99	deg	0	----	008A	34.5							
FFFFFD1A	0000003B	FFFFFA43	FFFFFE9F	-85.454	-103.51	-97.574	deg	0	----	008A	34.5							
FFFFFD03	0000003F	FFFFFAD8	FFFFFD88	-85.292	-115.58	-105.26	deg	0	----	008A	34.5							
FFFFFCFB	0000002F	FFFFFA3F	FFFFFE3F	-86.521	-106.95	-100.14	deg	0	----	008A	34.5							
FFFFFD0B	42	FFFFFA53	FFFFFE87	-85.017	-104.54	-98.01	deg	0	----	008A	34.5							
FFFFFD10	45	FFFFFAC8	FFFFFD85	-84.757	-115.42	-105.16	deg	0	----	008A	34.5							
FFFFFD07	0000002C	FFFFFA9C	FFFFFD80	-86.691	-114.88	-105.55	deg	0	----	008A	34.5							
FFFFFCFA	0000004A	FFFFFA90	FFFFFE12	-84.539	-109.53	-100.97	deg	0	----	008A	34.5							
FFFFFD06	0000004D	FFFFFA67	FFFFFDD6	-84.23	-111.13	-102.26	deg	0	----	008A	34.5							
FFFFFD13	0000001F	FFFFFA73	FFFFFDF2	-87.63	-110.31	-102.85	deg	0	----	008A	34.5							
FFFFFD04	22	FFFFFAED	FFFFFDA0	-87.452	-115.08	-105.54	deg	0	----	008A	34.5							
FFFFFCE9	0000004B	FFFFFAB2	FFFFFDA3	-84.584	-114.01	-103.85	deg	0	----	008A	34.5							
FFFFFD23	27	FFFFFA70	FFFFFE0E	-86.954	-109.27	-102.01	deg	0	----	008A	34.5							
FFFFFCFC	0000002D	FFFFFB20	FFFFFD6E	-86.664	-117.8	-106.88	deg	0	----	008A	34.5							
FFFFFCDC	45	FFFFFA96	FFFFFDBF	-85.095	-112.6	-103.06	deg	0	----	008A	34.5							
FFFFFD13	0000003B	FFFFF9F6	FFFFFE51	-85.496	-105.57	-99.207	deg	0	----	008A	34.5							
FFFFFCEE	38	FFFFFB1D	FFFFFD76	-85.925	-117.45	-106.25	deg	0	----	008B	34.8							
FFFFFCE0	38	FFFFFA92	FFFFFDC0	-85.996	-112.5	-103.35	deg	0	----	008B	34.8							
FFFFFD1D	0000003F	FFFFFA10	FFFFFE36	-85.127	-106.76	-99.918	deg	0	----	008B	34.8							
FFFFFD21	39	FFFFFA8F	FFFFFE02	-85.566	-110.1	-102.01	deg	0	----	008B	34.8							
FFFFFCE7	38	FFFFFA8F	FFFFFDAD	-85.961	-113.12	-103.85	deg	0	----	008B	34.8							
FFFFFD1F	0000004D	FFFFFA28	FFFFFE36	-84.036	-107.02	-99.683	deg	0	----	008B	34.8							
FFFFFD1C	42	FFFFFA94	FFFFFE05	-84.903	-110.06	-101.7	deg	0	----	008B	34.8							
FFFFFCE5	0000001A	FFFFFABD	FFFFFDB5	-88.127	-113.54	-104.67	deg	0	----	008B	34.8							
FFFFFD1E	59	FFFFFA80	FFFFFDDD	-83.124	-111.23	-102.04	deg	0	----	008B	34.8							
FFFFFD09	51	FFFFFAAA	FFFFFDBF	-83.908	-112.89	-103.13	deg	0	----	008B	34.8							
FFFFFCED	19	FFFFFA77	FFFFFDF9	-88.181	-110.11	-102.63	deg	0	----	008B	34.8							
FFFFFD01	17	FFFFFA78	FFFFFDF9	-88.282	-110.12	-102.8	deg	0	----	008B	34.8							
FFFFFD01	0000005D	FFFFFA91	FFFFFDD9	-83.087	-111.6	-101.98	deg	0	----	008B	34.8							
FFFFFCF0	19	FFFFFA63	FFFFFDFD	-88.174	-109.71	-102.44	deg	0	----	008B	34.8							
FFFFFD04	0000000E	FFFFFA9C	FFFFFDD4	-88.95	-111.94	-104.18	deg	0	----	008B	34.8							
FFFFFD15	62	FFFFFAB4	FFFFFDD8	-82.526	-112.15	-102.18	deg	0	----	008B	34.8							
FFFFFCF3	0000000A	FFFFFA63	FFFFFDD9	-89.266	-110.97	-103.7	deg	0	----	008B	34.8							
FFFFFD04	0000000B	FFFFFAA6	FFFFFDDA	-89.175	-111.87	-104.17	deg	0	----	008B	34.8							
FFFFFD0E	0000006A	FFFFFAB4	FFFFFDE7	-81.998	-111.6	-101.54	deg	0	----	008B	34.8							
FFFFFCFE	61	FFFFFA8A	FFFFFDC4	-82.82	-112.25	-102.35	deg	0	----	008B	34.8							
FFFFFD0B	14	FFFFFA7F	FFFFFE0A	-88.487	-109.61	-102.54	deg	0	----	89	34.2							
FFFFFD0C	58	FFFFFAA4	FFFFFDF6	-83.361	-110.83	-101.52	deg	0	----	89	34.2							
FFFFFCF9	55	FFFFFA98	FFFFFDCB	-83.741	-112.2	-102.53	deg	0	----	89	34.2							
FFFFFD07	0000001F	FFFFFA86	FFFFFDB3	-87.667	-112.78	-104.46	deg	0	----	89	34.2							
FFFFFCFB	0000004F	FFFFFA96	FFFFFE0C	-84.165	-109.83	-101.03	deg	0	----	89	34.2							
FFFFFD03	47	FFFFFA80	FFFFFDF9	-84.698	-110.23	-101.64	deg	0	----	89	34.2							
FFFFFD15	24	FFFFFA73	FFFFFDCA	-87.241	-111.71	-103.73	deg	0	----	89	34.2							
FFFFFCF5	38	FFFFFA95	FFFFFDBD	-85.888	-112.65	-103.57	deg	0	----	89	34.2							
FFFFFD16	0000002E	FFFFFA90	FFFFFDF4	-86.471	-110.62	-102.6	deg	0	----	89	34.2							
FFFFFD0A	0000002C	FFFFFA69	FFFFFDF0	-86.678	-110.25	-102.46	deg	0	----	89	34.2							
FFFFFCE9	58	FFFFFA7B	FFFFFDD5	-83.652	-111.44	-101.96	deg	0	----	89	34.2							
FFFFFD0A	36	FFFFFAAB	FFFFFDC4	-85.925	-112.73	-103.71	deg	0	----	89	34.2							
FFFFFD1B	16	FFFFFAA8	FFFFFDD3	-88.299	-112.15	-104.23	deg	0	----	89	34.2							
FFFFFCF0	59	FFFFFA6D	FFFFFDF5	-83.523	-110.12	-101.1	deg	0	----	89	34.2							
FFFFFD14	27	FFFFFAA7	FFFFFDD2	-87.015	-112.17	-103.77	deg	0	----	89	34.2							
FFFFFD10	0000001B	FFFFFAA5	FFFFFDCC	-87.944	-112.36	-104.19	deg	0	----	89	34.2							
FFFFFCF4	0000004D	FFFFFA88	FFFFFDD1	-84.362	-111.76	-102.46	deg	0	----	89	34.2							
FFFFFD12	26	FFFFFA7A	FFFFFE12	-87.099	-109.25	-101.89	deg	0	----	89	34.2							
FFFFFCFF	16	FFFFFAB9	FFFFFDA4	-88.361	-114.08	-105.35	deg	0	----	89	34.2							
FFFFFCF5	46	FFFFFAB3	FFFFFD7E	-84.865	-115.31	-104.99	deg	0	----	89	34.2							
FFFFFD0F	0000005F	FFFFFA49	FFFFFE4F	-82.809	-106.48	-98.672	deg	0	----	89	34.2							
FFFFFCEF	14	FFFFFAD3	FFFFFD60	-88.541	-116.89	-107.17	deg	0	----	89	34.2							
FFFFFCF8	42	FFFFFAAC	FFFFFD77	-85.139	-115.44	-105.23	deg	0	----	89	34.2							
FFFFFD25	0000005A	FFFFFA4D	FFFFFE58	-82.981	-106.2	-98.671	deg	0	----	89	34.2							
FFFFFD04	0000002E	FFFFFA73	FFFFFE3A	-86.554	-107.71	-100.57	deg	0	----	89	34.2							
FFFFFD03	42	FFFFFAA4	FFFFFD7F	-85.069	-115.04	-105.06	deg	0	----	89	34.2							
FFFFFD21	53	FFFFFA55	FFFFFE56	-83.557	-106.36	-98.917	deg	0	----	89	34.2							
FFFFFD00	30	FFFFFA6A	FFFFFE54	-86.424	-106.66	-99.809	deg	0	----	89	34.2							
FFFFFCF5	20	FFFFFAC2	FFFFFD5E	-87.648	-116.66	-106.84	deg	0	----	89	34.2							
FFFFFD0A	53	FFFFFA53	FFFFFE6D	-83.751	-105.5	-98.235	deg	0	----	89	34.2							
FFFFFCF6	0000003B	FFFFFA60	FFFFFE76	-85.663	-105.3	-98.589	deg	0	----	89	34.2							
FFFFFD03	17	FFFFFAB8	FFFFFD4C	-88.278	-117.1	-107.53	deg	0	----	89	34.2							
FFFFFD14	37	FFFFFAA5	FFFFFD70	-85.795	-115.57	-105.83	deg	0	----	89	34.2							
FFFFFCF0	39	FFFFFA80	FFFFFE33	-85.842	-108.12	-100.44	deg	0	----	89	34.2							
FFFFFD07	23	FFFFFA9D	FFFFFD70	-87.367	-115.44	-106.18	deg	0	----	89	34.2							
FFFFFD17	0000003C	FFFFFA82	FFFFFDBC	-85.396	-112.41	-103.59	deg	0	----	89	34.2							
FFFFFCF8	42	FFFFFA7C	FFFFFE36	-85.139	-107.97	-100.15	deg	0	----	89	34.2							
FFFFFD14	36	FFFFFAA0	FFFFFD99	-85.871	-114.08	-104.79	deg	0	----	89	34.2							
FFFFFD11	0000003B	FFFFFA78	FFFFFDD5	-85.508	-111.4	-102.89	deg	0	----	89	34.2							
FFFFFCE8	0000003A	FFFFFA81	FFFFFDFA	-85.812	-110.21	-101.81	deg	0	----	89	34.2							
FFFFFD02	35	FFFFFA98	FFFFFDEA	-86.042	-111.09	-102.61	deg	0	----	008A	34.5							
FFFFFD01	0000003A	FFFFFA86	FFFFFDDA	-85.676	-111.42	-102.78	deg	0	----	008A	34.5							
FFFFFCE7	0000003B	FFFFFA8D	FFFFFDF0	-85.745	-110.73	-102.09	deg	0	----	008A	34.5							
FFFFFD0E	0000003A	FFFFFA9A	FFFFFDBA	-85.601	-112.83	-103.78	deg	0	----	008A	34.5							
FFFFFD1A	39	FFFFFA72	FFFFFDFB	-85.607	-109.98	-102	deg	0	----	008A	34.5							
FFFFFCF5	37	FFFFFA7D	FFFFFE1E	-85.961	-108.86	-101.03	deg	0	----	008A	34.5							
FFFFFD12	0000003C	FFFFFA96	FFFFFDA2	-85.426	-113.61	-104.33	deg	0	----	008A	34.5							
FFFFFD19	45	FFFFFA4E	FFFFFE3E	-84.694	-107.15	-99.821	deg	0	----	008A	34.5							
FFFFFCF4	0000002D	FFFFFA92	FFFFFE05	-86.698	-110.03	-102.01	deg	0	----	008A	34.5							
FFFFFCEE	26	FFFFFAD1	FFFFFD6D	-87.232	-116.4	-106.37	deg	0	----	008A	34.5							
FFFFFD14	49	FFFFFA41	FFFFFE5A	-84.426	-106	-98.938	deg	0	----	008A	34.5							
FFFFFCF5	20	FFFFFAB2	FFFFFDB5	-87.648	-113.37	-104.55	deg	0	----	008A	34.5							
FFFFFCF5	0000002C	FFFFFABB	FFFFFD98	-86.767	-114.54	-105.04	deg	0	----	008A	34.5							
FFFFFD16	54	FFFFFA5D	FFFFFE2C	-83.576	-107.96	-99.95	deg	0	----	008A	34.5							
FFFFFCF1	0000001E	FFFFFAB6	FFFFFD8D	-87.806	-114.84	-105.6	deg	0	----	008A	34.5							
FFFFFD00	32	FFFFFA94	FFFFFDE3	-86.275	-111.29	-102.83	deg	0	----	008A	34.5							
